run,model,strategy,tp,dp,a2a,workload,conc,prompts,in,out,tok/s,req/s,ttft_mean,ttft_p99,itl_mean,itl_p99,e2e_mean,e2e_p99,gpus,mem_before_mb,mem_after_mb,util_before,util_after
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,1,20,1024,512,35.12,0.07,104.57,112.11,28.32,30.02,28.32,28.82,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,4,20,1024,512,140.83,0.28,92.8,114.17,28.27,30.72,28.27,28.51,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,8,20,1024,512,226.43,0.44,107.03,131.44,29.52,32.17,29.52,30.2,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,16,20,1024,512,332.02,0.65,136.95,160.38,31.09,33.31,31.09,31.91,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,32,20,1024,512,609.63,1.19,178.98,187.17,32.51,34.04,32.51,32.58,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,64,20,1024,512,608.51,1.19,201,210.63,32.52,34.17,32.52,32.58,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,128,20,1024,512,610.01,1.19,176.89,189.17,32.49,33.97,32.49,32.58,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,1,100,128,128,35.82,0.28,59.39,582.9,27.67,29.67,27.67,29.12,2,74711,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,4,100,128,128,138.72,1.08,140.16,1067.78,27.95,29.35,27.95,28.22,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,8,100,128,128,256.52,2,133.73,781.34,29.2,31.29,29.2,31.89,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,16,100,128,128,447.49,3.5,199.16,612.04,30.93,33.96,30.93,31.29,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,32,100,128,128,751.46,5.87,173.9,196.78,33.42,37.31,33.42,34.07,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,64,100,128,128,1222.58,9.55,640.84,930.3,37.23,51.3,37.23,39.84,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,128,100,128,128,2267.92,17.72,363.72,417.96,41.36,49.44,41.36,42.12,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,1,50,512,256,35,0.14,84.42,95.36,28.35,30.04,28.35,28.9,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,4,50,512,256,129.57,0.51,90.22,114.35,29.45,31.12,29.45,29.77,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,8,50,512,256,240.02,0.94,104.48,126.9,29.63,31.38,29.63,30.01,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,16,50,512,256,403.83,1.58,141.69,153.33,31.23,33.1,31.23,31.57,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,32,50,512,256,744.55,2.91,198.66,244.4,33.39,36.5,33.39,34.63,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,64,50,512,256,1369.01,5.35,486.95,755.47,34.65,36.65,34.65,35.51,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,128,50,512,256,1449.89,5.66,265.42,287.9,33.47,35.95,33.47,33.6,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,1,20,1024,512,27.36,0.05,815.8,841.34,35.02,40.22,35.02,35.69,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,4,20,1024,512,111.19,0.22,153.56,233.95,35.73,40.57,35.73,35.98,4,37177,37177,0,4.75
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,8,20,1024,512,183.85,0.36,222.67,281.12,35.94,41.77,35.94,36.44,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,16,20,1024,512,235.46,0.46,390.18,474.97,45.77,50.2,45.77,48.72,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,32,20,1024,512,353.35,0.69,548.43,575.52,55.62,58.31,55.62,56.17,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,64,20,1024,512,353.05,0.69,533.57,559.64,55.7,57.83,55.7,56.22,4,37177,37177,0,3
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,balanced,128,20,1024,512,353.95,0.69,528.99,554.74,55.56,57.78,55.56,56.07,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,1,100,128,128,27.97,0.22,190.12,795.27,34.54,39.95,34.54,37.77,4,37171,37175,0,3.75
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,4,100,128,128,109.52,0.86,200.61,1437.35,35.23,40.43,35.23,36.16,4,37175,37175,0,2.5
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,8,100,128,128,205.04,1.6,273.85,1143.39,35.7,39.78,35.7,40.33,4,37175,37177,0,7.25
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,16,100,128,128,292.9,2.29,461.95,1009.33,47.03,49.72,47.03,49.63,4,37177,37177,0.5,5.25
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,32,100,128,128,347.44,2.71,844.7,1442.04,75.91,80.94,75.91,80.71,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,64,100,128,128,420.38,3.28,1838.46,2492.77,112.55,430.39,112.55,138.74,4,37177,37177,0,4.5
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,128,100,128,128,573.97,4.48,1834.9,2673.95,160.38,598,160.38,169.56,4,37177,37177,0,1.5
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,1,50,512,256,27.07,0.11,561.18,891.67,34.89,40.38,34.89,36.11,4,37177,37177,0,0.5
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,4,50,512,256,105.93,0.41,160.03,222.81,35.82,40.61,35.82,36.5,4,37177,37177,0,1.25
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,8,50,512,256,195.86,0.77,212.71,258.12,35.86,40.42,35.86,36.5,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,16,50,512,256,272.4,1.06,340.75,451.51,47.56,49.92,47.56,48.92,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,32,50,512,256,365.53,1.43,842.41,961.14,68.88,80.48,68.88,79.1,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,64,50,512,256,421.16,1.65,1958.84,2116.83,111.39,116.46,111.39,117.62,4,37177,37177,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,128,50,512,256,427.94,1.67,1160.59,1405.21,112.57,116.51,112.57,113.91,4,37177,37177,0,8.25
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,1,20,1024,512,98.01,0.19,64.02,73.22,10.1,10.26,10.1,10.1,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,4,20,1024,512,192.01,0.38,78.99,108.85,20.71,22.46,20.71,21.14,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,8,20,1024,512,278.13,0.54,78.05,92.33,24.6,27.4,24.6,26.03,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,16,20,1024,512,400.32,0.78,95.55,106.67,27.37,29.82,27.37,29.04,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,32,20,1024,512,659.16,1.29,125.1,131.19,30.14,30.9,30.14,30.14,2,74687,74687,0,0.5
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,64,20,1024,512,660.07,1.29,125.49,131.1,30.1,31.03,30.1,30.1,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,balanced,128,20,1024,512,660.57,1.29,138.98,148.1,30.05,30.74,30.05,30.08,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,1,100,128,128,97.52,0.76,32.7,35.69,10.08,10.45,10.08,10.12,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,4,100,128,128,199.42,1.56,65.42,87.86,19.69,22.97,19.69,20.63,2,74687,74687,0,38.5
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,8,100,128,128,313.95,2.45,68.73,82.86,24.35,26.93,24.35,25.46,2,74687,74687,15.5,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,16,100,128,128,530.46,4.14,84.99,99.5,27.32,29.29,27.32,28.07,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,32,100,128,128,873.73,6.83,109.89,124.7,30.46,33.12,30.46,31.1,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,64,100,128,128,1380.98,10.79,577.31,879.74,32.63,35.69,32.63,37.18,2,74687,74687,0,7
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,decode_heavy,128,100,128,128,2817.27,22.01,270.24,303.43,33.48,35.1,33.48,34.14,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,1,50,512,256,97.53,0.38,53.04,59.01,10.08,10.36,10.08,10.09,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,4,50,512,256,195.82,0.76,73.98,98.9,19.62,21.91,19.62,20.58,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,8,50,512,256,304.88,1.19,72.64,87.58,24.32,26.87,24.32,25.17,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,16,50,512,256,496.73,1.94,89.7,99.84,27.84,29.54,27.84,28.51,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,32,50,512,256,812.68,3.17,122.88,139.34,30.68,32.33,30.68,31.43,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,64,50,512,256,1525.08,5.96,213.94,225.71,32.03,33.44,32.03,32.2,2,74687,74687,0,0
multi,Mixtral-8x7B-Instruct-v0.1,tp_only,2,1,,prefill_heavy,128,50,512,256,1526.63,5.96,195.26,220.18,32.03,33.77,32.03,32.15,2,74687,74687,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,1,20,1024,512,54.4,0.11,31.68,36.87,18.36,19.81,18.36,18.9,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,4,20,1024,512,204.86,0.4,59.63,82.16,19.44,20.37,19.44,19.54,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,8,20,1024,512,339.87,0.66,74.92,82.51,19.5,20.73,19.5,19.52,2,74723,74723,0,2
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,16,20,1024,512,510.69,1,110.84,128.21,19.43,20.64,19.43,19.44,2,74723,74723,0,3
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,32,20,1024,512,1002.71,1.96,123.17,133.75,19.72,21.02,19.72,19.73,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,64,20,1024,512,983.73,1.92,110.44,116.11,20.14,21.34,20.14,20.15,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,balanced,128,20,1024,512,973.09,1.9,111.94,125.99,20.34,21.66,20.34,20.34,2,74723,74723,0,12.5
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,1,100,128,128,54.28,0.42,33.83,36.5,18.3,19.8,18.3,19.22,2,74721,74723,0,2
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,4,100,128,128,196.95,1.54,87.72,1016.12,19.77,21.21,19.77,23.02,2,74723,74723,0,3
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,8,100,128,128,372.87,2.91,118.76,725.27,19.72,21.01,19.72,23.57,2,74723,74723,0,7
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,16,100,128,128,659.63,5.15,220.87,576.47,20.3,21.92,20.3,23.36,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,32,100,128,128,1195.28,9.34,84.57,111.36,20.45,22.05,20.45,20.92,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,64,100,128,128,2186.97,17.09,447.17,764.93,20.18,21.92,20.18,24.37,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,decode_heavy,128,100,128,128,3912.58,30.57,688.53,709.89,20.17,23.69,20.17,23.53,2,74723,74723,0,3
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,1,50,512,256,54.68,0.21,30.23,34.91,18.24,19.82,18.24,18.93,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,4,50,512,256,196.12,0.77,56.72,75.41,19.46,20.95,19.46,19.65,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,8,50,512,256,359.8,1.41,74.03,80.67,19.62,20.72,19.62,19.82,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,16,50,512,256,624.41,2.44,89.48,99.42,19.76,21.94,19.76,19.84,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,32,50,512,256,1246.33,4.87,110.61,141.4,19.72,21.12,19.72,19.8,2,74723,74723,0,1.5
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,64,50,512,256,2440.53,9.53,177.12,191.75,19.8,22.22,19.8,19.82,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,ep_only,1,,allgather_reducescatter,prefill_heavy,128,50,512,256,2436.15,9.52,196.6,209.21,19.75,22.14,19.75,19.77,2,74723,74723,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,1,20,1024,512,42.74,0.08,308.02,322.12,22.84,26.74,22.84,23.11,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,4,20,1024,512,162.51,0.32,89.22,114.08,24.48,27.94,24.48,24.62,4,37145,37145,0,3.5
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,8,20,1024,512,268.84,0.53,142.3,179.29,24.55,28.65,24.55,24.67,4,37145,37145,0,2.25
